pl_name,pl_rade,pl_bmasse,pl_orbper,discoverymethod,hostname,disc_year
55 Cnc e,1.9335,8.117035,0.7365461449999999,Radial Velocity,55 Cnc,2004
AU Mic b,4.07,17.0,8.46308,Transit,AU Mic,2020
AU Mic c,2.79,13.6,18.859018,Transit,AU Mic,2021
BD+20 594 b,2.35545351,19.274050000000003,41.6855,Transit,BD+20 594,2016
BD-14 3065 b,21.1506,3932.0,4.28897135,Transit,BD-14 3065 A,2024
CFHTWIR-Oph 98 b,20.8487041,2479.0615746,8040000.0,Imaging,CFHTWIR-Oph 98 A,2021
COCONUTS-2 b,12.44196858,2272.4731100500003,402000000.0,Imaging,COCONUTS-2 A,2021
CoRoT-1 b,17.042579500000002,340.0781,1.5089682,Transit,CoRoT-1,2008
CoRoT-10 b,10.7088345,874.0,13.2406,Transit,CoRoT-10,2010
CoRoT-11 b,16.02887,767.55945,2.994325,Transit,CoRoT-11,2010
CoRoT-12 b,16.14,286.36483,2.828042,Transit,CoRoT-12,2010
CoRoT-13 b,11.226530310000001,416.99296,4.03519,Transit,CoRoT-13,2010
CoRoT-14 b,12.21781,2415.4,1.51214,Transit,CoRoT-14,2010
CoRoT-16 b,13.112265,169.08203500000002,5.35227,Transit,CoRoT-16,2011
CoRoT-17 b,11.43,772.29,3.7681,Transit,CoRoT-17,2011
CoRoT-18 b,14.68,1074.2654,1.9000731,Transit,CoRoT-18,2011
CoRoT-19 b,13.976416375,352.78,3.89713,Transit,CoRoT-19,2011
CoRoT-2 b,16.432197,1077.41865,1.74299673,Transit,CoRoT-2,2008
CoRoT-20 b,11.209,1347.54,9.24285,Transit,CoRoT-20,2011
CoRoT-21 b,14.5717,711.9392,2.72474,Transit,CoRoT-21,2012
CoRoT-22 b,4.88,12.2,9.75598,Transit,CoRoT-22,2014
CoRoT-23 b,11.77,972.5598,3.6313,Transit,CoRoT-23,2011
CoRoT-24 b,3.7,5.7,5.1134,Transit,CoRoT-24,2014
CoRoT-24 c,5.0,28.0,11.759,Transit,CoRoT-24,2014
CoRoT-25 b,12.107859999999999,89.467095,4.86069,Transit,CoRoT-25,2013
CoRoT-26 b,14.12167,174.8007,4.20474,Transit,CoRoT-26,2013
CoRoT-27 b,11.2872315,3287.8795,3.57532,Transit,CoRoT-27,2014
CoRoT-28 b,10.704595,153.35297500000001,5.20851,Transit,CoRoT-28,2015
CoRoT-29 b,10.0881,268.56635,2.85057,Transit,CoRoT-29,2015
CoRoT-3 b,11.320545,6849.0926,4.2567994,Transit,CoRoT-3,2008
CoRoT-30 b,11.309881,921.707,9.06005,Transit,CoRoT-30,2020
CoRoT-31 b,16.36514,266.9772,4.62941,Transit,CoRoT-31,2020
CoRoT-32 b,6.38913,47.6745,6.7183689,Transit,CoRoT-32,2018
CoRoT-35 b,18.83108758,349.6112477,3.22748,Transit,CoRoT-35,2022
CoRoT-36 b,15.80466279,216.12331676,5.616531,Transit,CoRoT-36,2022
CoRoT-4 b,13.339355000000001,228.83,9.20205,Transit,CoRoT-4,2008
CoRoT-5 b,15.558,148.90005,4.037898721655,Transit,CoRoT-5,2009
CoRoT-6 b,13.069694,940.74,8.886593,Transit,CoRoT-6,2009
CoRoT-7 b,1.6324999999999998,5.27,0.853588295,Transit,CoRoT-7,2009
CoRoT-8 b,6.6641855,69.28694,6.2123355,Transit,CoRoT-8,2010
CoRoT-9 b,11.859397,266.97360000000003,95.272725,Transit,CoRoT-9,2009
DS Tuc A b,5.7,413.179,8.138268,Transit,DS Tuc A,2019
EPIC 201595106 b,1.352876045,7.67,0.8771985,Transit,EPIC 201595106,2021
EPIC 211945201 b,5.903448675,19.0,19.49213,Transit,EPIC 211945201,2018
EPIC 220674823 b,1.7185000000000001,8.120000000000001,0.5712955,Transit,EPIC 220674823,2016
EPIC 220674823 c,2.77,5.8,13.33918,Transit,EPIC 220674823,2016
EPIC 229004835 b,2.1198463700000003,14.850000000000001,16.139620999999998,Transit,EPIC 229004835,2023
EPIC 246851721 b,12.742202765,953.49,6.18026138745,Transit,EPIC 246851721,2018
EPIC 248847494 b,12.44199,4131.79,3650.0,Transit,EPIC 248847494,2018
EPIC 249893012 b,1.95,8.75,3.5951,Transit,EPIC 249893012,2020
EPIC 249893012 c,3.67,14.67,15.624,Transit,EPIC 249893012,2020
EPIC 249893012 d,3.94,10.18,35.747,Transit,EPIC 249893012,2020
G 9-40 b,2.025,7.85,5.7459982,Transit,G 9-40,2019
GJ 1132 b,1.19151465,1.63,1.6289302,Transit,GJ 1132,2015
GJ 1214 b,2.678,6.45,1.580404571,Transit,GJ 1214,2009
GJ 1252 b,1.193,1.32,0.5182416999999999,Transit,GJ 1252,2020
GJ 143 b,2.86597,26.665,35.61253,Transit,GJ 143,2019
GJ 3090 b,2.0753399999999997,3.34,2.8531035,Transit,GJ 3090,2022
GJ 341 b,0.8739435,4.0,7.5768467,Transit,GJ 341,2025
GJ 3470 b,4.2,13.9,3.3366496,Radial Velocity,GJ 3470,2012
GJ 3473 b,1.23736694,1.86,1.19800153021,Transit,GJ 3473,2020
GJ 357 b,1.217,1.84,3.93061285,Transit,GJ 357,2019
GJ 367 b,0.718,0.5895,0.3219233,Transit,GJ 367,2021
GJ 3929 b,1.09728674,1.48,2.6162745,Transit,GJ 3929,2022
GJ 414 A b,2.63,8.917037355,51.2125,Radial Velocity,GJ 414 A,2021
GJ 414 A c,8.4,56.155213445,747.2650000000001,Radial Velocity,GJ 414 A,2021
GJ 436 b,4.135,22.6603,2.6438975190000003,Radial Velocity,GJ 436,2004
GJ 486 b,1.3145696999999998,2.82,1.467119767365,Radial Velocity,GJ 486,2021
GJ 806 b,1.504615,1.9,0.9263237,Transit,GJ 806,2023
GJ 9827 b,1.577,4.87,1.2089759999999998,Transit,GJ 9827,2017
GJ 9827 c,1.241,1.655,3.64809585,Transit,GJ 9827,2017
GJ 9827 d,2.022,3.42,6.201469899999999,Transit,GJ 9827,2017
GPX-1 b,15.93351056,6261.2196179,1.744431025235,Transit,GPX-1,2021
Gaia-1 b,13.215824235,533.95172376,3.05239627562,Transit,Gaia-1,2022
Gaia-2 b,14.771371649999999,259.66580852,3.69154069495,Transit,Gaia-2,2022
Gliese 12 b,0.958,6.9350000000000005,12.76142,Transit,Gliese 12,2024
HAT-P-1 b,14.5331,168.13207,4.46529913,Transit,HAT-P-1,2006
HAT-P-11 b,4.81987,25.0,4.887802706,Transit,HAT-P-11,2008
HAT-P-12 b,10.749431,66.394687,3.2130584,Transit,HAT-P-12,2009
HAT-P-13 b,15.513391500000001,283.18653,2.916241945,Transit,HAT-P-13,2009
HAT-P-14 b,13.4508,724.6524,4.6276665,Transit,HAT-P-14,2010
HAT-P-15 b,11.94877,618.960835,10.863501,Transit,HAT-P-15,2010
HAT-P-16 b,14.448401,1332.66119,2.77596775,Transit,HAT-P-16,2010
HAT-P-17 b,11.54527,177.508055,10.338523,Transit,HAT-P-17,2010
HAT-P-18 b,10.94146725,62.45234,5.5080287,Transit,HAT-P-18,2010
HAT-P-19 b,12.1165071,90.26372,4.008784115,Transit,HAT-P-19,2010
HAT-P-2 b,12.968813,2828.6,5.63346982,Transit,HAT-P-2,2007
HAT-P-20 b,9.75,2302.899,2.87531773,Transit,HAT-P-20,2010
HAT-P-21 b,11.951457999999999,1291.289,4.124481,Transit,HAT-P-21,2010
HAT-P-22 b,12.10586,687.943035,3.2122316900000003,Transit,HAT-P-22,2010
